detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D2,mix,0.1,128,fit,300,0.9488,0.9388,0.9588,0.892,0.8712,0.9098,1000,0.054
D2,mix,0.2,128,fit,300,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.054
D2,anti,,128,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.054
D1,imitate,0.05,128,fit,1000,0.875,0.8606,0.8894,0.562,0.5311,0.5925,1000,0.0535
D1,imitate,0.1,128,fit,1000,0.9999,0.9996,1.0,1.0,0.9962,1.0,1000,0.0535
D1,imitate,0.2,128,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0535
D1,mix,0.05,128,fit,1000,0.9616,0.9532,0.97,0.819,0.7939,0.8416,1000,0.0535
D1,mix,0.1,128,fit,1000,0.9999,0.9995,1.0,0.999,0.9944,0.9998,1000,0.0535
D1,mix,0.2,128,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0535
D1,anti,,128,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0535
D2,imitate,0.05,128,fit,1000,0.497,0.4717,0.5223,0.0,0.0,0.0038,1000,0.049
D2,imitate,0.1,128,fit,1000,0.505,0.4797,0.5303,0.18,0.1574,0.205,1000,0.049
D2,imitate,0.2,128,fit,1000,0.5001,0.4748,0.5254,0.016,0.0099,0.0258,1000,0.049
D2,mix,0.05,128,fit,1000,0.9847,0.9792,0.9901,0.425,0.3947,0.4559,1000,0.049
D2,mix,0.1,128,fit,1000,0.9916,0.9876,0.9957,1.0,0.9962,1.0,1000,0.049
D2,mix,0.2,128,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.049
D2,anti,,128,fit,1000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.049
D1,imitate,0.05,128,fit,3000,0.9898,0.9854,0.9942,0.947,0.9313,0.9593,1000,0.0467
D1,imitate,0.1,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,imitate,0.2,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,mix,0.05,128,fit,3000,1.0,0.9998,1.0,1.0,0.9962,1.0,1000,0.0467
D1,mix,0.1,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,mix,0.2,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D1,anti,,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0467
D2,imitate,0.05,128,fit,3000,0.5136,0.4883,0.5389,0.0,0.0,0.0038,1000,0.0503
D2,imitate,0.1,128,fit,3000,0.5052,0.4799,0.5305,0.197,0.1735,0.2228,1000,0.0503
D2,imitate,0.2,128,fit,3000,0.5085,0.4832,0.5338,0.0,0.0,0.0038,1000,0.0503
D2,mix,0.05,128,fit,3000,0.9999,0.9995,1.0,0.408,0.3779,0.4388,1000,0.0503
D2,mix,0.1,128,fit,3000,0.9999,0.9994,1.0,1.0,0.9962,1.0,1000,0.0503
D2,mix,0.2,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,anti,,128,fit,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,imitate,0.05,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,imitate,0.1,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,imitate,0.2,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,mix,0.05,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,mix,0.1,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,mix,0.2,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D1,anti,,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0558
D2,imitate,0.05,128,fit,10000,0.5078,0.4824,0.5331,0.0,0.0,0.0038,1000,0.05
D2,imitate,0.1,128,fit,10000,0.4992,0.4739,0.5245,0.2,0.1764,0.2259,1000,0.05
D2,imitate,0.2,128,fit,10000,0.4833,0.458,0.5086,0.0,0.0,0.0038,1000,0.05
D2,mix,0.05,128,fit,10000,1.0,1.0,1.0,0.858,0.835,0.8783,1000,0.05
D2,mix,0.1,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D2,mix,0.2,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D2,anti,,128,fit,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.05
D1,imitate,0.05,8,100,30,0.5307,0.5105,0.5509,0.045,0.0338,0.0597,1000,0.0413
D1,imitate,0.1,8,100,30,0.5945,0.5742,0.6148,0.079,0.0638,0.0974,1000,0.0413
D1,imitate,0.2,8,100,30,0.9535,0.9443,0.9627,0.783,0.7564,0.8074,1000,0.0413
D1,mix,0.05,8,100,30,0.6095,0.5893,0.6298,0.079,0.0638,0.0974,1000,0.0413
D1,mix,0.1,8,100,30,0.6393,0.6192,0.6594,0.135,0.1152,0.1576,1000,0.0413
D1,mix,0.2,8,100,30,0.7661,0.7479,0.7843,0.233,0.2079,0.2602,1000,0.0413
D1,anti,,8,100,30,0.9993,0.9982,1.0,0.997,0.9912,0.999,1000,0.0413
D2,imitate,0.05,8,100,30,0.5058,0.4805,0.5311,0.05,0.0381,0.0653,1000,0.0602
D2,imitate,0.1,8,100,30,0.458,0.4328,0.4832,0.081,0.0656,0.0996,1000,0.0602
D2,imitate,0.2,8,100,30,0.5724,0.5474,0.5974,0.038,0.0278,0.0517,1000,0.0602
