episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
2380000,5798732,3328.9,0.044835,0.022418,0.447754,0.344086,0.598928,0.499305
2390000,5822981,3341.7,0.040408,0.020204,0.413698,0.350428,0.561921,0.46344
2400000,5847117,3354.3,0.04685,0.023425,0.411974,0.363969,0.489179,0.614736
2410000,5871318,3367.2,0.041288,0.020644,0.458332,0.333599,0.613656,0.441822
2420000,5895542,3380.1,0.038397,0.019199,0.423503,0.347253,0.606743,0.556488
2430000,5919851,3393.9,0.035331,0.017665,0.390902,0.322928,0.420807,0.42981
2440000,5944094,3406.3,0.040207,0.020103,0.397636,0.413995,0.640844,0.478653
2450000,5968258,3419.1,0.041213,0.020606,0.446704,0.369616,0.528227,0.56931
2460000,5992484,3432.4,0.039166,0.019583,0.39936,0.394618,0.459252,0.677635
2470000,6016622,3445.6,0.043157,0.021578,0.341967,0.366701,0.60639,0.842395
2480000,6040789,3459.5,0.037545,0.018773,0.42317,0.247136,0.834061,0.541449
2490000,6064847,3471.9,0.048354,0.024177,0.4131,0.298105,0.41258,0.542757
2500000,6088703,3485.0,0.038272,0.019136,0.408956,0.250369,0.665781,0.507118
2510000,6112659,3498.0,0.048023,0.024011,0.436585,0.305065,0.708472,0.708182
2520000,6136751,3510.7,0.038604,0.019302,0.408048,0.279711,0.571975,0.649425
2530000,6160665,3524.0,0.035318,0.017659,0.490836,0.350526,0.484331,0.542248
2540000,6184657,3538.0,0.043309,0.021654,0.356881,0.324403,0.483966,0.694148
2550000,6208550,3552.6,0.043917,0.021959,0.425062,0.422643,0.795666,0.629779
2560000,6232556,3566.8,0.04062,0.02031,0.412174,0.346445,0.744312,0.61142
2570000,6256446,3581.1,0.047613,0.023807,0.447638,0.383966,0.406853,0.688674
2580000,6280338,3595.3,0.04153,0.020765,0.441379,0.412279,0.733308,0.77808
2590000,6304385,3608.9,0.034848,0.017424,0.455741,0.342181,0.607758,0.7626
2600000,6328324,3621.8,0.037509,0.018755,0.456292,0.419755,0.564285,0.515309
2610000,6352249,3634.8,0.041418,0.020709,0.458733,0.298014,0.343578,0.640507
2620000,6376141,3647.7,0.03478,0.01739,0.424501,0.401569,0.608462,0.790995
2630000,6400050,3661.1,0.039207,0.019603,0.400764,0.41204,0.467154,0.608231
2640000,6424035,3673.9,0.038656,0.019328,0.415676,0.264911,0.660024,0.589805
2650000,6447986,3687.1,0.037673,0.018837,0.390678,0.399632,0.475575,0.592526
2660000,6471844,3700.3,0.036878,0.018439,0.464422,0.327191,0.709145,0.557734
2670000,6495789,3713.7,0.038362,0.019181,0.404941,0.398295,0.420142,0.58268
2680000,6519660,3726.9,0.039345,0.019673,0.35767,0.297464,0.562614,0.593356
2690000,6543498,3740.3,0.033685,0.016843,0.446916,0.365567,0.468723,0.619996
2700000,6567551,3753.8,0.036756,0.018378,0.453063,0.360016,0.509079,0.626253
2710000,6591522,3766.3,0.040635,0.020318,0.425544,0.461638,0.357832,0.766079
2720000,6615426,3780.2,0.037584,0.018792,0.467147,0.344052,0.620527,0.57521
2730000,6639402,3793.8,0.034785,0.017393,0.376611,0.304563,0.343205,0.504938
2740000,6663519,3807.0,0.034402,0.017201,0.411442,0.300429,0.626451,0.422639
2750000,6687511,3820.0,0.036667,0.018333,0.45527,0.366747,0.402052,0.538845
2760000,6711471,3833.6,0.037079,0.018539,0.485923,0.295122,0.495056,0.435404
2770000,6735582,3848.0,0.037184,0.018592,0.445089,0.302458,0.689473,0.537222
2780000,6759613,3862.8,0.037252,0.018626,0.452992,0.412043,0.636668,0.646929
2790000,6783725,3876.6,0.034838,0.017419,0.392025,0.361692,0.480007,0.587013
2800000,6807873,3891.2,0.035829,0.017914,0.339107,0.33207,0.363999,0.556385
2810000,6832065,3906.0,0.038956,0.019478,0.419934,0.341738,0.62016,0.681798
2820000,6856131,3920.6,0.038623,0.019311,0.405931,0.36313,0.59451,0.684217
2830000,6880106,3935.2,0.039329,0.019665,0.460104,0.318705,0.624984,0.580112
2840000,6904354,3949.2,0.039424,0.019712,0.448258,0.362033,0.77306,0.624732
2850000,6928546,3962.8,0.03277,0.016385,0.395058,0.300885,0.433838,0.646776
2860000,6952567,3976.1,0.041884,0.020942,0.473502,0.348943,0.479969,0.619285
2870000,6976509,3989.5,0.040673,0.020337,0.368924,0.340278,0.556182,0.717068
2880000,7000511,4002.7,0.036763,0.018382,0.367499,0.334827,0.488155,0.513336
2890000,7024483,4015.6,0.031933,0.015967,0.467201,0.29723,0.519267,0.620867
2900000,7048390,4027.9,0.035706,0.017853,0.361758,0.37696,0.48119,0.530207
2910000,7072230,4040.9,0.043344,0.021672,0.380378,0.369694,0.414161,0.577154
2920000,7096185,4054.9,0.037408,0.018704,0.422295,0.312738,0.3351,0.567961
2930000,7120210,4069.3,0.032899,0.01645,0.435549,0.369697,0.370575,0.504161
2940000,7144080,4083.1,0.035068,0.017534,0.344069,0.344685,0.485758,0.65096
2950000,7167905,4096.6,0.040887,0.020443,0.360482,0.264267,0.629475,0.734076
2960000,7191749,4110.1,0.035815,0.017907,0.438197,0.259662,0.592722,0.493654
2970000,7215592,4123.5,0.034462,0.017231,0.468152,0.313272,0.608478,0.56581
2980000,7239458,4136.8,0.038087,0.019043,0.430352,0.416118,0.485257,0.602289
2990000,7263302,4147.6,0.032684,0.016342,0.463105,0.293803,0.652945,0.520043
3000000,7287157,4156.9,0.038526,0.019263,0.465889,0.311027,0.477316,0.591825
